period,state,price,sales
2024-02-01,Texas,14.31,11457.94
2024-02-01,Tennessee,11.98,4234.5
2024-02-01,South Dakota,11.79,490.96
2024-02-01,South Carolina,14.21,2525.81
2024-01-01,Maryland,17.48,2882.79
2024-01-01,Colorado,14.26,1831.3
2024-01-01,California,29.49,7557.23
2024-01-01,Arkansas,11.24,2092.56
2024-01-01,Arizona,14.11,2736.44
2024-01-01,Alaska,23.78,228.45
2024-01-01,Alabama,14.4,3496.03
2024-01-01,Hawaii,44.28,227.44
2024-01-01,Georgia,12.34,6214.46
2024-01-01,Florida,14.79,10086.16
2024-01-01,District of Columbia,16.83,221.96
2024-01-01,Maine,25.89,475.47
2024-01-01,Louisiana,10.82,2861.47
2024-01-01,Kentucky,12.27,2997.59
2024-01-01,Kansas,13.04,1411.38
2024-01-01,Iowa,11.85,1591.61
2024-01-01,Indiana,13.75,3475.66
2024-01-01,Illinois,14.93,4361.44
2024-01-01,Idaho,10.79,1092.26
2024-01-01,Delaware,15.53,485.47
2024-01-01,Connecticut,27.4,1274.12
2024-01-01,Mountain,13.33,9260.3
2024-01-01,West South Central,13.17,21589.92
2024-01-01,East South Central,12.83,13073.84
2024-01-01,South Atlantic,13.95,36285.09
2024-01-01,South Dakota,11.18,578.53
2024-01-01,South Carolina,13.54,3332.35
2024-01-01,Rhode Island,31.22,288.59
2024-01-01,Pennsylvania,17.39,5691.82
2024-01-01,Oregon,13.84,2265.58
2024-01-01,Oklahoma,11.16,2316.55
2024-01-01,West North Central,11.73,11854.51
2024-01-01,East North Central,15.65,18530.32
2024-01-01,Middle Atlantic,19.61,12689.84
2024-01-01,New England,27.32,4603.39
2024-01-01,Wyoming,10.86,371.98
2024-01-01,Wisconsin,16.46,2202.55
2024-01-01,West Virginia,13.64,1301.74
2024-01-01,Washington,11.09,4673.02
2024-01-01,Virginia,13.5,5063.6
2024-01-01,Vermont,20.98,229.32
2024-01-01,Utah,10.85,956.95
2024-01-01,Texas,14.25,14319.34
2024-01-01,Tennessee,12.05,4664.4
2024-01-01,Ohio,15.58,5373.8
2024-01-01,North Dakota,9.88,618.56
2024-01-01,North Carolina,13.07,6696.56
2024-01-01,New York,23.44,4437.97
2024-01-01,New Mexico,13.76,654.53
2024-01-01,New Jersey,17.9,2560.05
2024-01-01,New Hampshire,25.07,448.16
2024-01-01,Nevada,16.38,940.73
2024-01-01,Nebraska,9.85,1246.14
2024-01-01,Montana,11.98,676.1
2024-01-01,Missouri,10.82,4043.87
2024-01-01,Mississippi,12.72,1915.82
2024-01-01,Minnesota,14.04,2364.42
2024-01-01,U.S. Total,15.45,142838.92
2024-01-01,Pacific Noncontiguous,34.01,455.89
2024-01-01,Pacific Contiguous,21.11,14495.83
2024-01-01,Michigan,18.34,3116.87
2024-01-01,Massachusetts,28.34,1887.74
2023-12-01,East North Central,15.95,15593.56
2023-12-01,Kansas,12.96,1041.65
2023-12-01,Iowa,11.88,1370.5
2023-12-01,Indiana,14.58,2746.7
2023-12-01,Illinois,14.98,3625.92
2023-12-01,Idaho,11.6,998.66
2023-12-01,Hawaii,41.6,240.42
2023-12-01,Nebraska,10.58,956.62
2023-12-01,Montana,12.61,582.4
2023-12-01,Missouri,11.52,2982.53
2023-12-01,Mississippi,13.25,1421.98
